Ballpark,Two tickets,Two hotdogs,Two beers,Parking,Total Average
Boston Red Sox Game at Fenway Park,96,10.5,15.5,35,157
Chicago Cubs Game at Wrigley Field,64.06,11.5,15.5,25,116.06
New York Yankees Game at Yankee Stadium,56.4,6,12,35,109.4
Toronto Blue Jays Game at Rogers Centre,63.2,9.96,13.58,22.64,109.38
Seattle Mariners Game at Safeco Field,53.71,9,12,20,94.71
New York Mets Game at Citi Field,48.19,12.5,11.5,22,94.19
San Francisco Giants Game at AT&T Park,44.81,11,14,21,90.81
Kansas City Royals Game at Kauffman Stadium,56.4,10,13,10,89.4
Washington Nationals Game at Nationals Park,52.4,10.5,13,10,85.9
Philadelphia Phillies Game at Citizens Bank Park,43.49,7.5,15.5,16,82.49
St. Louis Cardinals Game at Busch Stadium,42.8,8.5,10,20,81.3
Milwaukee Brewers Game at Miller Park,50,7,12,11,80
Cleveland Indians Game at Progressive Field,50.4,6,8,12,76.4
Detroit Tigers Game at Comerica Park,31.6,9,10,20,70.6
Tampa Bay Rays Game at Tropicana Field,49.11,10,10,0,69.11
Chicago White Sox Game at U.S. Cellular Field,27.45,8,13,20,68.45
Houston Astros Game at Minute Maid Park,31.73,9.5,10,15,66.23
Miami Marlins Game at Marlins Park,26.93,12,12,15,65.93
San Diego Padres Game at Petco Park,39.8,8,10,8,65.8
Baltimore Orioles Game at Oriole Park at Camden Yards,41.13,3,13.5,8,65.63
Texas Rangers Game at Globe Life Park in Arlington,33.6,10,10,12,65.6
Atlanta Braves Game at Turner Field,26.34,9.5,14.5,15,65.34
Oakland Athletics Game at O.co Coliseum,23.21,10.5,10,20,63.71
Pittsburgh Pirates Game at PNC Park,29.93,3.25,11,15,62.43
Cincinnati Reds Game at Great American Ball Park,28.8,2,10.5,20,61.3
Minnesota Twins Game at Target Field,30.4,9,15,6,60.4
Colorado Rockies Game at Coors Field,24.8,9.5,12,13,59.3
Arizona Diamondbacks Game at Chase Field,34.43,5.5,8,10,57.93
Los Angeles Dodgers Game at Dodger Stadium,21.6,11,12.5,10,55.1
Los Angeles Angels Game at Angel Stadium of Anaheim,19.6,9,9,10,47.6
