Country / Website,Passport Power Rank,Minimum (euro),Maximum (euro),,Minimum USD,Maximum USD,Nucleus 1,AlphaBay,Abaraxas 1,Abaraxas 2,Middle Earth,Crypto Market 1,Crypto Market 2,Hansa,http://passaork4ojyk3ju.onion/,http://vfqnd6mieccqyiit.onion/,http://passporxakpmzurx.onion/index.php,http://abbujjh5vqtq77wg.onion/,http://lsvkntdyvga64cvh.onion/?add-to-cart=48
Denmark,4,1652,3524,,1883,4017,2950,3524,1907,,,,,,,,1652,3100,
Belgium,6,1738,3190,,1981,3637,,3190,,,1738,,,,,,,,
Netherlands,4,1652,3100,,1883,3534,,,,,2348,,,3061,,,1652,3100,
United Kingdom,1,1572,3061,,1792,3490,,,,,2629,1572,1804,3061,,2670,2098,,
France,2,1449,3061,,1652,3490,,1449,1907,,2348,,,3061,,,,,
Spain,6,3061,3061,,3490,3490,,,,,,,,3061,,,,,
Russia,37,1192,2643,,1359,3013,2643,,1907,1192,,,,,,,,,
Lithuania,14,1233,2600,,1406,2964,1586,,1597,1240,,,,,,,1311,2600,1233
Australia,9,2348,2348,,2677,2677,,,,,2348,,,,,,,,
Canada,5,1311,2348,,1495,2677,,,,,2348,,,,,,1311,,
Germany,2,2348,2348,,2677,2677,,,,,2348,,,,,,,,
United States,1,823,1804,,938,2057,,,,,,1624,1804,,823,,,,
Finland,4,1738,1738,,1981,1981,,,,,1738,,,,,,,,
Norway,6,1623,1623,,1850,1850,,,,,,1623,,,,,,,
Italia,3,352,352,,401,401,,,,,,352,,,,,,,
Ireland,6,0,0,,0,0,,,,,,,,,,,,,
Poland,10,0,0,,0,0,,,,,,,,,,,,,
Portugal,6,0,0,,0,0,,,,,,,,,,,,,
Switzerland,5,0,0,,0,0,,,,,,,,,,,,,
Sweden,3,0,0,,0,0,,,,,,,,,,,,,
