name,administrative name,2014 approx foreign fighter numbers,2015 approx foreign fighter numbers
Aruba,Aruba,,
Antigua,Antigua and Barbuda,,
Barbuda,Antigua and Barbuda,,
Afghanistan,Afghanistan,,
Angola,Angola,,
Anguilla,Anguilla,,
Albania,Albania,,90
Aland Islands,Aland,,
Andorra,Andorra,,
United Arab Emirates,United Arab Emirates,,
Argentina,Argentina,,
Armenia,Armenia,,
American Samoa,American Samoa,,
Antarctica,Antarctica,,
French Southern and Antarctic Lands,French Southern and Antarctic Lands,,
Australia,Australia,250,70
Austria,Austria,,229
Azerbaijan,Azerbaijan,,
Brussels,Belgium,250,
Burundi,Burundi,,
Benin,Benin,,
Burkina Faso,Burkina Faso,,
Flemish Region,Belgium,250,
Bangladesh,Bangladesh,,
Bulgaria,Bulgaria,,
Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,,156
Bahrain,Bahrain,,
Bahamas,The Bahamas,,
Republic Srpska,Bosnia and Herzegovina,,
Bajo Nuevo Bank (Petrel Islands),Bajo Nuevo Bank (Petrel Is.),,
Saint-Barth�lemy,Saint Barthelemy,,
Belarus,Belarus,,
Belize,Belize,,
Bermuda,Bermuda,,
Bolivia,Bolivia,,
Navassa Island,United States Minor Outlying Islands,,
Brazil,Brazil,,
Barbados,Barbados,,
Brunei Darussalam,Brunei,,
Bhutan,Bhutan,,
Bouvet Island,Norway,,
Botswana,Botswana,,
Walloon Region,Belgium,250,
Central African Republic,Central African Republic,,
Canada,Canada,30,150
Cocos Islands,Indian Ocean Territories,,
Switzerland,Switzerland,10,
Chile,Chile,,
China,China,,
C�te d'Ivoire,Ivory Coast,,
Clipperton Island,Clipperton Island,,
Cameroon,Cameroon,,
Cyprus U.N. Buffer Zone,Cyprus No Mans Area,,
Democratic Republic of the Congo,Democratic Republic of the Congo,,
Republic of Congo,Republic of Congo,,
Cook Islands,Cook Islands,,
Colombia,Colombia,,
Comoros,Comoros,,
Cape Verde,Cape Verde,,
Costa Rica,Costa Rica,,
Coral Sea Islands,Coral Sea Islands,,
Cuba,Cuba,,
Cura�ao,Cura�ao,,
Christmas Island,Indian Ocean Territories,,
Cayman Islands,Cayman Islands,,
Northern Cyprus,Northern Cyprus,,
Cyprus,Cyprus,,
Czech Republic,Czech Republic,,
Germany,Germany,270,720
Djibouti,Djibouti,,
Dominica,Dominica,,
Denmark,Denmark,100,115
Dominican Republic,Dominican Republic,,
Jarvis Island,United States Minor Outlying Islands,,
Algeria,Algeria,,170
Ecuador,Ecuador,,
Egypt,Egypt,,600
England,United Kingdom,400,700
Eritrea,Eritrea,,
Dhekelia,Dhekelia Sovereign Base Area,,
Spain,Spain,51,69
Estonia,Estonia,,
Ethiopia,Ethiopia,,
Finland,Finland,30,70
Fiji,Fiji,,
Falkland Islands,Falkland Islands,,
Baker Island,United States Minor Outlying Islands,,
Faeroe Islands,Faroe Islands,,
Federated States of Micronesia,Federated States of Micronesia,,
France,France,700,1880
Gabon,Gabon,,
Gaza,Palestine,,
Adjara,Georgia,,
Georgia,Georgia,,
Guernsey,Guernsey,,
Ghana,Ghana,,
Gibraltar,Gibraltar,,
Guinea,Guinea,,
Guadeloupe,France,,
The Gambia,Gambia,,
Guinea-Bissau,Guinea Bissau,,
Equatorial Guinea,Equatorial Guinea,,
Greece,Greece,,
Grenada,Grenada,,
Greenland,Greenland,,
Guatemala,Guatemala,,
French Guiana,France,,
Guam,Guam,,
Guyana,Guyana,,
Hong Kong,Hong Kong S.A.R.,,
Heard I. and McDonald Islands,Heard Island and McDonald Islands,,
Honduras,Honduras,,
Howland Island,United States Minor Outlying Islands,,
Croatia,Croatia,,
Haiti,Haiti,,
Hungary,Hungary,,
Indonesia,Indonesia,30,159
Isle of Man,Isle of Man,,
India,India,,7
British Indian Ocean Territory,British Indian Ocean Territory,,
Iraqi Kurdistan,Iraq,,
Ireland,Ireland,25,
Iran,Iran,,
Iraq,Iraq,,
Iceland,Iceland,,
Israel,Israel,,50
Italy,Italy,,65
Jamaica,Jamaica,,
Jersey,Jersey,,
Jordan,Jordan,,
Japan,Japan,,9
Johnston Atoll,United States Minor Outlying Islands,,
Baikonur Cosmodrome,Baykonur Cosmodrome,,
Siachen Glacier,Siachen Glacier,,
Kazakhstan,Kazakhstan,,300
Kenya,Kenya,,
Kyrgyzstan,Kyrgyzstan,,
Cambodia,Cambodia,,
Kiribati,Kiribati,,
Saint Kitts and Nevis,Saint Kitts and Nevis,,
Korean DMZ (south),South Korea,,
Korean DMZ (north),North Korea,,
Republic of Korea,South Korea,,
Kosovo,Kosovo,100,
Kuwait,Kuwait,,
Lao PDR,Laos,,
Lebanon,Lebanon,,
Liberia,Liberia,,
Libya,Libya,,
Saint Lucia,Saint Lucia,,
Liechtenstein,Liechtenstein,,
Sri Lanka,Sri Lanka,,
Lesotho,Lesotho,,
Lithuania,Lithuania,,
Luxembourg,Luxembourg,,
Latvia,Latvia,,
Macao,Macao S.A.R,,
Saint-Martin,Saint Martin,,
Morocco,Morocco,1500,
Monaco,Monaco,,
Moldova,Moldova,,
Madagascar,Madagascar,,
Maldives,Maldives,,200
Mexico,Mexico,,
Marshall Islands,Marshall Islands,,
Macedonia,Macedonia,,130
Mali,Mali,,
Malta,Malta,,
Myanmar,Myanmar,,
Montenegro,Montenegro,,
Mongolia,Mongolia,,
Northern Mariana Islands,Northern Mariana Islands,,
Mozambique,Mozambique,,
Midway Islands,United States Minor Outlying Islands,,
Mauritania,Mauritania,,
Montserrat,Montserrat,,
Martinique,France,,
Mauritius,Mauritius,,
Malawi,Malawi,,
Malaysia,Malaysia,,150
Mayotte,France,,
Namibia,Namibia,,
New Caledonia,New Caledonia,,
Niger,Niger,,
Norfolk Island,Norfolk Island,,
Nigeria,Nigeria,,
Nicaragua,Nicaragua,,
Northern Ireland,United Kingdom,400,
Niue,Niue,,
Jan Mayen Island,Norway,,
Netherlands,Netherlands,120,210
Caribbean Netherlands,Netherlands,,
Norway,Norway,45,80
Nepal,Nepal,,
Nauru,Nauru,,
Svalbard Islands,Norway,,
New Zealand,New Zealand,,10
Oman,Oman,,
Pakistan,Pakistan,,70
Panama,Panama,,
Azores,Portugal,,
Pitcairn Islands,Pitcairn Islands,,
Peru,Peru,,
Paracel Islands,China,,
Spratly Islands,Spratly Islands,,
Philippines,Philippines,,
Palau,Palau,,
Madeira,Portugal,,
Bougainville,Papua New Guinea,,
Papua New Guinea,Papua New Guinea,,
Poland,Poland,,
Puerto Rico,Puerto Rico,,
Dem. Rep. Korea,North Korea,,
Portugal,Portugal,,
Paraguay,Paraguay,,
French Polynesia,French Polynesia,,
Qatar,Qatar,,
Reunion,France,,
Romania,Romania,,
Russian Federation,Russia,800,2400
Rwanda,Rwanda,,
Western Sahara,Western Sahara,,
Saudi Arabia,Saudi Arabia,2500,2275
Scarborough Reef,Scarborough Reef,,
Scotland,United Kingdom,400,
Sudan,Sudan,,
South Sudan,South Sudan,,
Senegal,Senegal,,
Serranilla Bank,Serranilla Bank,,
Singapore,Singapore,1,9
South Georgia and South Sandwich Islands,South Georgia and South Sandwich Islands,,
Saint Helena,Saint Helena,,
Solomon Islands,Solomon Islands,,
Sierra Leone,Sierra Leone,,
El Salvador,El Salvador,,
San Marino,San Marino,,
Somaliland,Somaliland,,
Puntland,Somalia,,
Somalia,Somalia,,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,,
Serbia,Republic of Serbia,,
Vojvodina,Republic of Serbia,,
S�o Tom� and Principe,Sao Tome and Principe,,
Suriname,Suriname,,
Slovakia,Slovakia,,
Slovenia,Slovenia,,
Sweden,Sweden,30,300
Swaziland,Swaziland,,
Sint Maarten,Sint Maarten,,
Seychelles,Seychelles,,
UNDOF Zone,Syria,,
Syrian Arab Republic,Syria,,
Turks and Caicos Islands,Turks and Caicos Islands,,
Chad,Chad,,
Togo,Togo,,
Thailand,Thailand,,
Tajikistan,Tajikistan,,386
Tokelau,New Zealand,,
Turkmenistan,Turkmenistan,,
Timor-Leste,East Timor,,
Tonga,Tonga,,
Trinidad and Tobago,Trinidad and Tobago,,
Tunisia,Tunisia,3000,5000
Turkey,Turkey,400,1400
Tuvalu,Tuvalu,,
Taiwan,Taiwan,,
Tanzania,United Republic of Tanzania,,
Zanzibar,United Republic of Tanzania,,
Uganda,Uganda,,
Ukraine,Ukraine,,
Uruguay,Uruguay,,
United States,United States of America,70,230
US Naval Base Guantanamo Bay,US Naval Base Guantanamo Bay,,
Uzbekistan,Uzbekistan,,500
Vatican,Vatican,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,
Venezuela,Venezuela,,
British Virgin Islands,British Virgin Islands,,
United States Virgin Islands,United States Virgin Islands,,
Vietnam,Vietnam,,
Vanuatu,Vanuatu,,
West Bank,Palestine,,
Wallis and Futuna Islands,Wallis and Futuna,,
Wales,United Kingdom,400,
Wake Atoll,United States Minor Outlying Islands,,
Akrotiri,Akrotiri Sovereign Base Area,,
Samoa,Samoa,,
Yemen,Yemen,,
South Africa,South Africa,,
Zambia,Zambia,,
Zimbabwe,Zimbabwe,,
