NAME OF SITE,DESCRIPTION,DETAILED DESCRIPTION,LOCATION,LATLONG,LAT,LONG,COMMENTS,"LINKS (NEWS, VIDEO, EXPERT)",EXPERT LINK
Ashur (Qal'at Sherqat),ANCIENT CITY (UNESCO),http://whc.unesco.org/en/list/1130,N35 27 32.004 E43 15 34.992,,,,,http://www.ibtimes.co.uk/isis-blows-unesco-world-heritage-assyrian-site-ashur-near-tikrit-1503367,
Erbil Citadel,CITADEL (UNESCO),http://whc.unesco.org/en/list/1437,"36.191504, 44.009107","36.191504, 44.009107",36.191504,44.009107,"APPARENT ATTEMPT AT DESTRUCTION, REPORTED",http://www.cbsnews.com/news/suicide-bomb-hits-iraq-kurdish-capital-of-erbil/,
Hatra,ANCIENT CITY (UNESCO),http://whc.unesco.org/en/list/277,"35.442745, 42.393838","35.442745, 42.393838",35.442745,42.393838,HIGH-PROFILE,http://www.wsj.com/video/isis-destroys-hatra-artifacts-new-video-claims/AE71A6B3-1B0E-4471-8250-B921B586C161.html,http://whc.unesco.org/en/news/1245/
Site of Palmyra,ANCIENT CITY (UNESCO),http://whc.unesco.org/en/list/23,"34.560000, 38.267222","34.560000, 38.267222",34.56,38.267222,"IN DANGER, HIGH-PROFILE",http://www.nytimes.com/2015/05/21/world/middleeast/syria-isis-fighters-enter-ancient-city-of-palmyra.html?_r=0,
Abu Qalqal [Abu Abrus],SUFI SHRINE + TOMBS,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_06r.pdf,"36.433333, 38.083333","36.433333, 38.083333",36.433333,38.083333,,,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_06r.pdf
The Armenian Holy Martyrs Church,CHURCH,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_08r.pdf,"35.338780, 40.141714","35.338780, 40.141714",35.33878,40.141714,HIGH-PROFILE,http://armenianweekly.com/2014/09/21/der-zor/,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_08r.pdf
Mezela Nasridin,SHRINE,,"36.451707, 43.342042","36.451707, 43.342042",36.451707,43.342042,,https://twitter.com/matthew__barber/status/523592733999370241,
Mar Gorgis (St. George/St. Markourkas) Monastery,CHURCH,http://www.asor-syrianheritage.org/wp-content/uploads/2015/04/ASOR_CHI_Weekly_Report_32r.pdf,"36.340606, 43.125246","36.340606, 43.125246",36.340606,43.125246,HIGH-PROFILE,http://www.vocativ.com/world/isis-2/isis-saint-georges-church-mosul/,
Imam Dur,TOMB,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_25r.pdf,"34.235124, 43.881656","34.235124, 43.881656",34.235124,43.881656,,"https://www.youtube.com/watch?v=0xKJZ1dJrg8, https://conflictantiquities.wordpress.com/2014/10/30/iraq-samarra-islamic-state-destruction-shia-shrine-imam-al-daur/",
Mosul Museum,MUSEUM,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_31r.pdf,"36.337863, 43.139408","36.337863, 43.139408",36.337863,43.139408,HIGH-PROFILE,"https://www.youtube.com/watch?v=S4-IjQpnTUM, http://www.nytimes.com/2015/02/27/world/middleeast/historians-pore- over-isis-video-of-smashed-statues-for-clues-to-whats-been-lost.html",
"Nergal Gate, Nineveh",ANCIENT CITY,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_30r.pdf,"36.366804, 43.157387","36.366804, 43.157387",36.366804,43.157387,HIGH-PROFILE,"http://www.nytimes.com/2015/02/28/world/middleeast/destruction-of-antiquities-by-militants- is-denounced.html, https://conflictantiquities.wordpress.com/2015/02/26/iraq-mosul-museum-nergal-gate-nineveh- destruction/",
Central Library of Mosul University and other university libraries,LIBRARY,,"36.376483, 43.142166","36.376483, 43.142166",36.376483,43.142166,HIGH-PROFILE,http://bigstory.ap.org/article/1ec4e2a1bb5b4dce97faa462478f7c0e/iraqi-,
Shia shrines of Imam Sa’ad and Khider al-Elias,SHRINE,,"36.372157, 42.450436","36.372157, 42.450436",36.372157,42.450436,,http://www.hrw.org/news/2014/06/27/iraq-isis-kidnaps-shia-turkmen-destroys-shrines,
Hamou Qado Mosque (also known as the Abdullah Chalabi bin Muhammad bin Abdul Kadir Mosque),MOSQUE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_31r.pdf,"Mosul, Iraq",,,,,"http://www.ibtimes.co.uk/iraq-isis-destroys-19th-century-ottoman-mosque-central-mosul-1490786, http://rudaw.net/english/middleeast/iraq/060320151",
Mosque of Sheikh Muhammad al-Abariqi,MOSQUE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_31r.pdf,"Mosul, Iraq",,,,,http://akhbaar.org/home/2015/3/186174.html,
Minaret of Qutb al-Din Muhammad,MOSQUE (part),http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_33r.pdf,"Sinjar, Iraq",,,,,http://www.ibtimes.com/islamic-state-iraq-battle-isis-bombs- yazidi-religious-site-sinjar-destroys-homes-1855556,
Monasteries of Mar Behnam and Mart Sarah,MONASTARTY,http://www.asor-syrianheritage.org/wp-content/uploads/2015/03/ASOR_CHI_Weekly_Report_33r.pdf,"Qaraqosh, Iraq",,,,,http://www.ibtimes.co.uk/isis-blows-famed-4th-century-mar-,
Shrine of Sheikh Fathi,SHRINE,http://www.asor-syrianheritage.org/wp-content/uploads/2015/05/ASOR_CHI_Weekly_Report_39r.pdf,"36.346816, 43.117931","36.346816, 43.117931",36.346816,43.117931,,behnam-catholic-monastery-iraq-1492703,
Mausoleum of Imam Ibn Hassan Awn al-Din,SHRINE,"https://www.google.com.tr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CB4QFjAA&url=https%3A%2F%2Fconflictantiquities.wordpress.com%2F2014%2F07%2F28%2Fsyria-iraq-islamic-state-destruction-shrine-mashhad-al-imam-awn-al-din%2F&ei=UrKDVfv8PMOlygPb8T8&usg=AFQjCNFE6Ua6mLnq1NbloV1u-o53bgN47A&sig2=Xud5TT6hWnHEBwEUfTBjng&bvm=bv.96042044,d.bGQ","36.339181, 43.13099","36.339181, 43.13099",36.339181,43.13099,,https://www.youtube.com/watch?v=H4wgqyoQEFE,
