name,evidence,condition,category,onetowatch,type,popularity,source,url,ignore,url of 2nd key study,key study source abstract (or summary notes),key study source abstract (or summary notes),key study source abstract (or summary notes),,,#,,,
green entries have been recently updated,"1 = low, 4 = good, 6 = strong",what condition does the supplement purport to affect?,the type of condition,few studies but promising results,what type of substance is this?,google hits (used to scale the bubbles),the key study for grading the evidence,web address of key study,exclude the supp from the visual to save space?,web address of second key study (if any),summary of key study's abstract,,,,,,,,
acai,0,,,,plant / herb,1.01,PubMed,,,,,,,,,#,,,
aloe vera,3,diabetes,diabetes,,plant / herb,1.6,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/10885091,,http://www.medscape.com/viewarticle/731244,"""Ten studies were located. They suggest that oral administration of aloe vera might be a useful adjunct for lowering blood glucose in diabetic patients as well as for reducing blood lipid levels in patients with hyperlipidaemia. Topical application of aloe vera is not an effective preventative for radiation-induced injuries. It might be effective for genital herpes and psoriasis. Whether it promotes wound healing is unclear. There are major caveats associated with all of these statements. CONCLUSION: Even though there are some promising results, clinical effectiveness of oral or topical aloe vera is not sufficiently defined at present."" Vogler and Ernst (1999). 'Aloe vera: a systematic review of its clinical effectiveness.' Br. J. Gen. Pract. 49/447, 823-28. PMID: 10885091.","^ Bunyapraphatsara N, Yongchaiyudha S, Rungpitarangsi V, Chokechaijaroenporn O. (1996) Antidiabetic activity of Aloe vera L juice. II. Clinical trial in diabetes mellitus patients in combination with glibenclamide. Phytomedicine 3: 245–248.","^ Nassiff HA, Fajardo F, Velez F. (1993) Effecto del aloe sobre la hiperlipidemia en pacientes refractarios a la dieta. Rev Cuba Med Gen Integr 9:43–51","5000 angina patients adding the 'Husk of Isabgol' and 'aloe vera' to their diet had reduced total serum cholesterol, serum triglycerides, fasting and post prandial blood sugar level in diabetic patients, total lipids and also increased HDL Agarwal 1985",http://www.ncbi.nlm.nih.gov/pubmed/10885091,,,,
andro-graphis,2,respiratory tract infections,infections,OTW,plant / herb,0.085, ,http://www.ncbi.nlm.nih.gov/pubmed/14748896,,,Meta-analysis of 3 trials (433 patients) found Andrographis paniculata extract alone or in combination with Acanthopanax senticosus was more effective than placebo & may be an effective treatment of uncomplicated acute upper respiratory tract infection. Poolsup et al (2004). PMID: 14748896.,"Andrographis paniculata (N.) extract SHA-10 fixed combination, Kan Jang, shows a positive effect in 95 individuals in the treatment of acute upper respiratory tract infections and also relieves the inflammatory symptoms of sinusitis and the drug was well tolerated. Gabrielian 2002",,,,#,,,
anti-oxidants,0,mortality,general health,,compound,8,American Medical Association,http://jama.ama-assn.org/content/297/8/842.full.pdf,,http://www.ncbi.nlm.nih.gov/pubmed/15153272,"""We did not find convincing evidence that antioxidant supplements have beneficial effects on mortality. Even more, beta carotene, vitamin A, and vitamin E seem to increase the risk of death. Further randomized trials are needed to establish the effects of vitamin C and selenium."" Bjelakovic et al (2007). 'Mortality in Randomized Trials of Antioxidant Supplements for Primary and Secondary Prevention: Systematic Review and Meta-analysis'. JAMA 297/8, 842-57.
","""Randomised primary and secondary intervention trials have failed to show any consistent benefit from the use of antioxidant supplements on cardiovascular disease or cancer risk, with some trials even suggesting possible harm in certain subgroups. "" Stanner SA, Hughes J, Kelly CN, Buttriss J (2004). ""A review of the epidemiological evidence for the 'antioxidant hypothesis'"". Public Health Nutr 7 (3): 407–22. ","""To date, [...] the published results of randomized, placebo-controlled trials of supplements containing antioxidant nutrients have not provided clear evidence of a beneficial effect."" Hercberg S, Galan P, Preziosi P, Bertrais S, Mennen L, Malvy D, Roussel AM, Favier A, Briancon S (2004). ""The SU.VI.MAX Study: a randomized, placebo-controlled trial of the health effects of antioxidant vitamins and minerals"". Arch Intern Med 164 (21): 2335–42.",,,,,,
anti-oxidants,4,infertility in men,"sex, men",,compound,8,Reproductive Biomedicine Online     ,http://www.biomedsearch.com/nih/systematic-review-effect-oral-antioxidants/20378409.html,,,"""A systematic review of randomized studies was conducted to evaluate the effects of oral antioxidants (vitamins C and E, zinc, selenium, folate, carnitine and carotenoids) on sperm quality and pregnancy rate in infertile men. Seventeen randomized trials, including a total of 1,665 men, were identified, which differed in the populations studied and type, dosage and duration of antioxidants used. 14 of the 17 (82%) trials showed an improvement in either sperm quality or pregnancy rate after antioxidant therapy. Ten trials examined pregnancy rate and six showed a significant improvement after antioxidant therapy. The use of oral antioxidants in infertile men could improve sperm quality and pregnancy rates."" Ross et al (2010). 'A systematic review of the effect of oral antioxidants on male infertility.' Reprod Biomed Online 20. PMID:  20378409.",,,,,,,,
aspartic acid,0,,,,compound,0.289,,,X,,n/a,,,,,#,,,
asta-xanthin,1,oxidative stress,general health,OTW,compound,0.152,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19656058,,,"""There have been at least eight clinical studies conducted in over 180 humans using astaxanthin to assess its safety, bioavailability and clinical aspects relevant to oxidative stress, inflammation or the cardiovascular system. There have been no adverse outcomes reported. Studies have demonstrated reduced markers of oxidative stress and inflammation and improved blood rheology."" Fassett and Coombes (2009). PMID: 19656058.",,,,http://www.ncbi.nlm.nih.gov/pubmed/12727382?dopt=Abstract,#,,,
astragalus,0,,,OTW,plant / herb,0.385,,,X,,n/a,,,,,#,,,
B vitamins,0.5,Alzheimer's,mental health,,vitamin,4.09,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18854539,,http://www.ncbi.nlm.nih.gov/pubmed/21216507,"""DESIGN, SETTING, AND PATIENTS: A multicenter, randomized, double-blind controlled clinical trial of high-dose folate, vitamin B(6), and vitamin B(12) supplementation in 409 (of 601 screened) individuals with mild to moderate Alzheimer's Disease. RESULTS: A total of 340 participants (202 in active treatment group and 138 in placebo group) completed the trial while taking study medication. Although the vitamin supplement regimen was effective in reducing homocysteine levels, it had no beneficial effect on the primary cognitive measure, rate of change in ADAS-cog score during 18 months, or on any secondary measures. A higher quantity of adverse events involving depression was observed in the group treated with vitamin supplements. CONCLUSION: This regimen of high-dose B vitamin supplements does not slow cognitive decline in individuals with mild to moderate AD."" Aisen et al (2008). PMID: 18854539.","""INTRODUCTION: Whether homocysteine lowering by B vitamins can reduce cognitive decline in Alzheimer disease and vascular dementia patients is unclear. METHODS AND MATERIALS: 140 subjects with mild to moderate Alzheimer disease or vascular dementia were randomly assigned to take 1 mg of methylcobalamin and 5 mg of folic acid, or placebo once daily for 24 months. The primary outcome was Mattis dementia rating scale (MDRS). CONCLUSION: Homocysteine lowering in dementia patients did not significantly reduce global cognitive decline.""","""Male and female patients aged >50 years with mild to moderate AD and normal folic acid and vitamin B12 concentrations were enrolled.  RESULTS: Eighty-nine patients (45 men, 44 women; all Taiwanese; mean age 75 years) were enrolled and randomized.  CONCLUSIONS: In this population of patients with mild to moderate AD in Taiwan, a multivitamin supplement containing vitamins B(6) and B(12) and folic acid for 26 weeks decreased homocysteine concentrations. No statistically significant beneficial effects on cognition or ADL function were found between multivitamin and placebo at 26 weeks."" http://www.ncbi.nlm.nih.gov/pubmed/18042476","""METHODS AND FINDINGS: Single-center, randomized, double-blind controlled trial of high-dose folic acid, vitamins B(6) and B(12) in 271 individuals (of 646 screened) over 70 y old with mild cognitive impairment. RESULTS: A total of 168 participants (85 in active treatment group; 83 receiving placebo) completed the MRI section of the trial. The mean rate of brain atrophy per year was 0.76% in the active treatment group and 1.08% in the placebo group. CONCLUSIONS AND SIGNIFICANCE: The accelerated rate of brain atrophy in elderly with mild cognitive impairment can be slowed by treatment with homocysteine-lowering B vitamins. Sixteen percent of those over 70 y old have mild cognitive impairment and half of these develop Alzheimer's disease. Since accelerated brain atrophy is a characteristic of subjects with mild cognitive impairment who convert to Alzheimer's disease, trials are needed to see if the same treatment will delay the development of Alzheimer's disease."" http://www.ncbi.nlm.nih.gov/pubmed/20838622",,,,,
