State,Total donated since 2000,Average donation,Total lower-court contributions,Top 5 recipients since 2000,Amount from recipient,Top 5 donors since 2000,Amount from donor,Top 5 contributing industries since 2000,Amount from industry,Top 5 lower court recipients,Amount from lower court recipient,Top 5 lower court donors,Amount from lower court donor,Top 5 lower court donating industries,Amount from lower court donor industry
AK.csv,0,731,0,"Fabe, Dana",62390,"Fabe Dana Anderson, 15 Contributors Of 100 Or Less, Kentch Jim, Hood Barbara J, Dunnagan Charles A","15000, 1030, 470, 367, 250","Lawyers & Lobbyists, Candidate Self-Finance, Unitemized Contributions, Real Estate, Civil Servants/Public Officials","23030, 15000, 10840, 1500, 1200",,,,,,
AL.csv,38613422,1599,2534855,"Nabers Jr, Drayton, See, Harold F, Stuart, Lyn, Paseur, Deborah Bell, Cobb, Sue Bell","4955617, 3259958, 3247193, 2737404, 2705785","Progress Pac, State Democratic Executive Committee, Acjrc Pac, Xxx, Progress Pac, Xxx, Al Democratic Party","3164000, 1918500, 1812225, 1783334, 1408881","Business Associations, Party Committees, Lawyers & Lobbyists, Uncoded, Conservative Policy Organization","15906553, 6642886, 6583718, 3939367, 2220027","Thompson, Bill, Bryan, Tommy, Windom, Mary, Kellum, Beth, Jones, Clyde","442187, 415387, 390623, 223408, 193516","Windom, Mary, Acjrc Pac, Welch, Sam, Kellum, Elizabeth, Progress Pac","248760, 190000, 180000, 139500, 119000","Business Associations, Uncoded, Lawyers & Lobbyists, Candidate Self-Finance, Party Committees","546300, 431457, 252279, 217035, 171043"
AR.csv,4436994,380,2193651,"Henry, Courtney, Henry, Courtney Hudson, Baker, Karen, Fox, Tim, Hannah, Jim","712673, 659747, 428054, 426136, 410049","Baker, Karen R, Henry, Courtney, Hart, Jo, Total Nonitemized Monetary Contributions, Small Contributions","251000, 186411, 159649, 56211, 42347","Lawyers & Lobbyists, Candidate Self-Finance, Uncoded, Hospitals & Nursing Homes, Health Professionals","2191651, 1168736, 723689, 320536, 184779","Henry, Courtney, Wood, Rhonda, Hart, Josephine Linker (Jo), Lusby, Richard, Gruber, Rita","712673, 209217, 176835, 130183, 114229","Henry, Courtney, Hart, Jo, Lusby, Richard, Total Nonitemized Monetary Contributions, Hixson, Kenneth","75883, 44494, 40016, 37295, 36235","Candidate Self-Finance, Lawyers & Lobbyists, Uncoded, Hospitals & Nursing Homes, Health Professionals","518111, 512046, 252633, 148000, 78315"
AZ.csv,5000,5000,0,"Pelander, John A",0,"Pelander, John",0,Civil Servants/Public Officials,0,,,,,,
CA.csv,200175,843,0,"Werdegar, Kathryn M",224298,"Rutter, William J, Grant, Isabella, Westerfield, Rebecca, Spivey, Bruce, Xxx, Small Contributions","1000, 250, 250, 250, 250","Lawyers & Lobbyists, Real Estate, Uncoded, Securities & Investment, Retired","35350, 28600, 28550, 24500, 16800",,,,,,
FL.csv,1529017,248,0,"Pariente, Barbara J, Lewis, R Fred, Quince, Peggy A","538812, 496269, 493936","Brumbaugh, John Moore, Schlesinger, Sheldon J, Scarola, John, Olmstead, J Steele, Heyman, Sally Anne","2000, 1500, 1500, 1500, 1482","Lawyers & Lobbyists, Uncoded, No Employer Listed Or Found, Real Estate, Health Professionals","1292181, 68061, 42292, 22050, 12109",,,,,,
GA.csv,6569569,463,2358723,"Hunstein, Carol W, Sears, Leah, Benham, Robert, Mcfadden, Chris, Fletcher, Norman S","1482933, 553416, 518100, 425151, 370893","Wilson, Matt, Xxx, Xxx, Small Contributions, Mcfadden, Christopher J, Contributions Of Less Than $101","165812, 159424, 147562, 121000, 92075","Lawyers & Lobbyists, Uncoded, Candidate Self-Finance, Unitemized Contributions, Candidate Committees","4155287, 712729, 547570, 362439, 123953","Mcfadden, Chris, Boggs, Michael P, Edenfield, Bruce M, Schaeffer, David N, Davis, Antoinette (Toni)","425151, 188335, 174592, 171335, 170317","Mcfadden, Christopher J, Contributions Of Less Than $101, Unitemized Contributions, Mcguire, Perry, Doyle, Sara","121000, 66211, 54385, 35250, 28724","Lawyers & Lobbyists, Uncoded, Candidate Self-Finance, Unitemized Contributions, Candidate Committees","1179228, 470456, 290262, 165876, 31404"
ID.csv,455304,412,0,"Bradbury, John, Silak, Cathy B, Eismann, Daniel T, Horton, Joel D, Burdick, Roger S","184633, 143713, 143503, 115357, 100110","Bradbury, John, Bradbury, John H, Horton, Joel D, Np Small Contributions, Trout, Linda","125834, 42600, 42290, 37089, 16201","Candidate Self-Finance, Uncoded, Lawyers & Lobbyists, Unitemized Contributions, Real Estate","253136, 246381, 68548, 43607, 13264",,,,,,
IL.csv,22402210,1651,5541093,"Karmeier, Lloyd A, Maag, Gordon E, Kilbride, Thomas L (Committee 1), Cates, Judy, Wheaton, Bonnie","4802373, 4555664, 2759153, 1552918, 1540887","Democratic Party Of Illinois, Illinois Republican Party, Xxx, Xxx, Wheaton, Bonnie, Justpac","4291433, 1940304, 1655309, 1455015, 1201183","Party Committees, Lawyers & Lobbyists, Candidate Self-Finance, Business Associations, Uncoded","7448611, 6849116, 4731571, 1635285, 1569027","Cates, Judy, Wexstten, James M, Epstein, James R, Seminara-Schostok, Mary, Mcglynn, Stephen","1552918, 718750, 535940, 274588, 238771","<None/Unknown>, Cates, Judy, James R Epstein Revocable Trust, The Cates Law Firm Llc, Individuals Not Itemized","450000, 249002, 205320, 195314, 181688","Candidate Self-Finance, Lawyers & Lobbyists, Uncoded, Unitemized Contributions, Candidate Committees","1947022, 1844019, 635771, 453870, 161221"
IN.csv,9391,375,0,"Sullivan Jr, Frank",9091,"Actblue Indiana, Waste Management Pac, Eli Lilly & Company Pac, Beer Industry Political Action Committee, Kops-Bedel, Elaine","961, 0, 0, 0, 0","Lawyers & Lobbyists, Real Estate, Liberal Policy Organization, Health Professionals, Public Sector Unions","1250, 1000, 961, 500, 500",,,,,,
