Hotel,Stars, Price for this weekend (April 30 - May 03) , (May 07 - May 10) for 2 adults ,Percentage of price change next weekend,Average price for further weekend,Percentage of price change Avg. further weekend, (May 14 - May 17) for 2 adults , (May 21 - May 24) for 2 adults , (May 28 - May 31) for 2 adults , (Jun 04 - Jun 07) for 2 adults , (Jun 11 - Jun 14) for 2 adults , (Jun 18 - Jun 21) for 2 adults 
Nobu Hotel,5," $ 2,919.00 ", $ 703.00 ,76%, $ 858.86 ,71%," $ 1,047.00 ", $ 901.00 , $ 925.00 , $ 700.00 , $ 734.00 ," $ 1,002.00 "
Encore Resort Las Vegas,5," $ 2,514.00 ", $ 678.00 ,73%, $ 909.71 ,64%," $ 1,165.00 ", $ 870.00 ," $ 1,397.00 ", $ 747.00 , $ 747.00 , $ 764.00 
Wynn Las Vegas,5," $ 2,293.00 ", $ 771.00 ,66%, $ 869.86 ,62%," $ 1,203.00 ", $ 802.00 ," $ 1,258.00 ", $ 647.00 , $ 647.00 , $ 761.00 
Mandarin Oriental Las Vegas,5," $ 2,187.00 ", $ 879.00 ,60%," $ 1,033.57 ",53%," $ 1,340.00 "," $ 1,206.00 "," $ 1,270.00 ", $ 781.00 , $ 716.00 ," $ 1,043.00 "
The Cosmopolitan of Las Vegas,5," $ 2,027.00 ", $ 885.00 ,56%," $ 1,003.71 ",50%," $ 1,747.00 "," $ 1,075.00 "," $ 1,142.00 ", $ 797.00 , $ 323.00 ," $ 1,057.00 "
Trump International Hotel Las Vegas,5," $ 1,993.00 ", $ 490.00 ,75%, $ 515.29 ,74%, $ 648.00 , $ 569.00 , $ 503.00 , $ 395.00 , $ 392.00 , $ 610.00 
Bill's Gamblin' Hall & Saloon,3," $ 1,358.00 ", $ 661.00 ,51%, $ 764.29 ,44%, $ 872.00 , $ 804.00 , $ 977.00 , $ 562.00 , $ 698.00 , $ 776.00 
Jockey Club,3," $ 1,353.00 ", $ 461.00 ,66%, $ 658.67 ,51%, $ 978.00 , $ 733.00 ,, $ 461.00 , $ 461.00 , $ 858.00 
Hampton Inn Tropicana,3," $ 1,341.00 ", $ 283.00 ,79%, $ 332.71 ,75%, $ 452.00 , $ 410.00 , $ 266.00 , $ 263.00 , $ 261.00 , $ 394.00 
Bellagio Las Vegas,5," $ 1,337.00 ", $ 978.00 ,27%, $ 882.00 ,34%," $ 1,097.00 ", $ 873.00 ," $ 1,139.00 ", $ 620.00 , $ 646.00 , $ 821.00 
Jockey Resort Suites,3," $ 1,317.00 ", $ 485.00 ,63%, $ 705.67 ,46%, $ 924.00 , $ 675.00 ,, $ 529.00 , $ 784.00 , $ 837.00 
Luxury Suites International at The Signature,4," $ 1,306.00 ", $ 419.00 ,68%, $ 579.14 ,56%, $ 776.00 , $ 585.00 , $ 807.00 , $ 396.00 , $ 452.00 , $ 619.00 
Elara A Hilton Grand Vacations Hotel - Center Strip,4.5," $ 1,296.00 ", $ 516.00 ,60%, $ 656.29 ,49%, $ 676.00 , $ 694.00 , $ 694.00 , $ 620.00 , $ 531.00 , $ 863.00 
Cancun Resort,3," $ 1,266.00 ", $ 500.00 ,61%, $ 451.86 ,64%, $ 362.00 , $ 629.00 , $ 370.00 , $ 370.00 , $ 416.00 , $ 516.00 
Cliffs at Peace Canyon,3," $ 1,227.00 ", $ 563.00 ,54%, $ 475.14 ,61%, $ 563.00 , $ 512.00 , $ 411.00 , $ 411.00 , $ 411.00 , $ 455.00 
Residence Inn Las Vegas Hughes Center,3," $ 1,217.00 ", $ 524.00 ,57%, $ 445.33 ,63%, $ 581.00 , $ 534.00 , $ 365.00 , $ 342.00 , $ 326.00 ,
Desert Paradise Resort,4," $ 1,208.00 ", $ 393.00 ,67%, $ 410.71 ,66%, $ 376.00 , $ 557.00 , $ 308.00 , $ 367.00 , $ 326.00 , $ 548.00 
Gold Coast Hotel and Casino,3," $ 1,169.00 ", $ 233.00 ,80%, $ 325.75 ,72%,,,, $ 268.00 , $ 281.00 , $ 521.00 
Signature at MGM Grand,4," $ 1,162.00 ", $ 658.00 ,43%, $ 624.43 ,46%," $ 1,051.00 ", $ 624.00 , $ 607.00 , $ 388.00 , $ 458.00 , $ 585.00 
ARIA Resort & Casino,5," $ 1,160.00 ", $ 813.00 ,30%, $ 741.43 ,36%, $ 887.00 , $ 865.00 , $ 837.00 , $ 517.00 , $ 549.00 , $ 722.00 
DoubleTree by Hilton Las Vegas Airport,3," $ 1,111.00 ", $ 366.00 ,67%, $ 424.33 ,62%, $ 602.00 , $ 669.00 , $ 303.00 , $ 303.00 , $ 303.00 ,
Marriott's Grand Chateau,4," $ 1,105.00 ", $ 534.00 ,52%, $ 608.14 ,45%, $ 635.00 , $ 748.00 , $ 531.00 , $ 531.00 , $ 531.00 , $ 747.00 
Embassy Suites Las Vegas,3," $ 1,100.00 ", $ 395.00 ,64%, $ 435.86 ,60%, $ 530.00 , $ 426.00 , $ 365.00 , $ 374.00 , $ 365.00 , $ 596.00 
JW Marriott Las Vegas Resort Spa & Golf,4," $ 1,077.00 ", $ 483.00 ,55%, $ 579.75 ,46%, $ 664.00 , $ 702.00 ,, $ 470.00 ,,
Staybridge Suites Las Vegas,3," $ 1,055.00 ", $ 568.00 ,46%, $ 566.00 ,46%,, $ 523.00 , $ 544.00 , $ 523.00 , $ 563.00 , $ 675.00 
Polo Towers Suites Las Vegas,3," $ 1,049.00 ", $ 360.00 ,66%, $ 401.71 ,62%, $ 357.00 , $ 533.00 , $ 340.00 , $ 340.00 , $ 340.00 , $ 542.00 
Red Rock Casino Resort & Spa,4," $ 1,039.00 ", $ 329.00 ,68%, $ 679.17 ,35%,, $ 561.00 , $ 555.00 , $ 358.00 , $ 542.00 ," $ 1,730.00 "
Palazzo Resort Hotel Las Vegas,5," $ 1,036.00 ", $ 525.00 ,49%, $ 743.00 ,28%, $ 891.00 , $ 887.00 , $ 881.00 , $ 611.00 , $ 584.00 , $ 822.00 
Hilton Grand Vacations Suites on the Las Vegas Strip,4," $ 1,027.00 ", $ 333.00 ,68%, $ 492.14 ,52%, $ 517.00 , $ 549.00 , $ 387.00 , $ 313.00 , $ 344.00 ," $ 1,002.00 "
Golden Nugget,4," $ 1,025.00 ", $ 222.00 ,78%, $ 354.86 ,65%, $ 291.00 , $ 533.00 , $ 326.00 , $ 271.00 , $ 268.00 , $ 573.00 
