"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,184
Albania,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0,,,,,,,,,,,,,21,,,,,,,,,,2,,,,,,,,,1,,,,,1,,63,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,85,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,228
Algeria,,,,,,,,,,,1,1,,,,0,,0,3,,,,,,,,,,,,,,,,1,,,,,,4,,2,,,,0,,,,,,1,1,,,,,0,,,,0,,,1,14,,,,,6,0,0,,,,,,,,,,,,,4,5,,2,,,,4,,1,18,0,,,,0,,0,,,,24,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,10,,,1,1,,,,,,4,0,,,8,0,1,,,,,7,1,,,,,,,,,,0,,1,,,,,,1,,,2,1,2,1,,3,,,,,2,0,,,,,0,,1,5,,,,,,,34,9,,,191
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,,,,,1,,,,,,57
Andorra,,,,,,,,0,,,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,53,,,,,1,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,2,,26,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,297
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,26,,,,,1,,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,46
Antigua and Barbuda,,,,,,,,,,0,0,,,,,,0,,,0,,1,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,0,,,,,1,5,,0,,,,,1,,,,1,,,,,0,0,,,0,,,,,4,0,0,,,,0,,,,,,,0,7,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,1,0,,0,,0,,,,0,,,,,,,0,,,,,,,,,0,6,,,,0,,,,,,,32
Argentina,0,0,0,,,0,,,2,,6,9,0,,,0,0,0,26,0,0,,0,616,0,0,64,,0,0,0,0,0,0,2,,,,,0,92,79,,0,,3,0,2,,,0,3,2,,0,30,21,1,1,,,0,0,,0,1,122,,,0,0,39,0,1,,0,,2,0,0,0,0,1,0,7,0,7,0,0,0,0,,4,392,0,15,0,0,0,,,6,,0,0,0,0,9,,0,,,1,1,,0,0,0,0,0,0,0,,,0,19,,0,,0,2,0,0,0,0,0,2,24,,0,0,,,1,0,0,,3,0,479,398,14,12,14,,0,1,2,0,0,,,0,1,0,,0,,,1,4,,,0,,869,0,,,,,0,0,,6,8,0,,0,1,,0,0,0,0,0,,,,0,7,,1,59,44,,,2,0,,0,0,0,,"3,549"
Armenia,,,,,,,,,,,,,314,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2,,1,,,,,,,,,,,,,,,7,,,,,,,,,0,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,443
Aruba,,0,0,,,,0,0,,,0,0,,,,0,0,,1,,,0,,0,,,0,,0,,,0,,,0,,,,,0,7,16,,,,0,,0,,,,,0,,0,13,0,0,0,,,,0,,0,0,1,,,0,,0,0,0,,0,,0,,,0,2,0,0,0,0,1,0,0,,0,,0,0,1,0,,,0,,,0,,0,,0,0,0,0,,,,,,0,0,,0,,,0,,,,0,,,,,,,0,,,,0,7,,,0,0,0,,0,,0,,0,,0,2,4,0,0,,,0,0,0,,,,0,,0,,,,0,0,0,,,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,,,,0,,0,1,,,,1,0,,,,,,61
